Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Beth,Williams,Ferrell Ports 1948,Lake Raymondton,71340,Danmark,DK,19881004-1577,+45,(349)560-7946x726,1988-10-04,True
Janet,Singh,Gomez Place 59739,Jessestad,08629,Danmark,DK,19601129-5606,+45,+1-910-402-2074x07232,1960-11-29,True
Helene,Evensen,Hagenfaret 54A,Tonestad,2599,Norge,NO,19821112-8387,+47,+4725040964,1982-11-12,True
Steinar,Johnsen,Liejordet 21B,Alfsjøen,0530,Norge,NO,19750425-4817,+47,480 17 237,1975-04-25,True
Elisabeth,Sundberg,Fabriksgatan 480,Skellefteå,11609,Sverige,SE,19740702-2340,+46,0445-958 21,1974-07-02,True
Bethany,Warner,Ashley Station 21937,North Nicole,20628,Danmark,DK,19490915-9278,+45,627-211-7916x490,1949-09-15,True
Alice,Hansson,Ängsvägen 478,Uppsala,18105,Sverige,SE,19650502-7190,+46,08-84 06 86,1965-05-02,True
Anna,Lindell,Idrottsgatan 2,Örnsköldsvik,83784,Sverige,SE,19610602-1242,+46,+46 (0)39 71 72 86,1961-06-02,True
Gary,Ortiz,Gutierrez Highway 15031,New Brookefurt,77425,Danmark,DK,19601112-3789,+45,001-557-806-7853x967,1960-11-12,True
Rune,Hägglund,Ringgatan 899,Uppsala,56643,Sverige,SE,19720222-1645,+46,08-057 031 76,1972-02-22,True
Øyvind,Haug,Simonsenstubben 3,Mikkelsen,7604,Norge,NO,19581120-5365,+47,+4788341539,1958-11-20,True
Siv,Johnsen,Jørgensenvollen 93E,Anitadal,5430,Norge,NO,19900923-4552,+47,48375224,1990-09-23,True
Per,Persson,Ängsstigen 9,Uddevalla,25145,Sverige,SE,19890328-5600,+46,+46 (0)48 25 37 57,1989-03-28,True
Frida,Larsson,Strandstigen 005,Stockholm,75103,Sverige,SE,19910831-8676,+46,08-844 788 15,1991-08-31,True
Eva,Karlsson,Fabriksvägen 279,Helsingborg,53791,Sverige,SE,19740916-8797,+46,087-481 97 46,1974-09-16,True
Axel,Olsson,Backvägen 5,Kalmar,26999,Sverige,SE,19430130-5363,+46,08-115 92 74,1943-01-30,True
Omar,Wells,Cox Estates 1357,Rothland,43454,Danmark,DK,19920511-9352,+45,453.215.5792x2598,1992-05-11,True
Lars,Holmström,Genvägen 17,Jönköping,36456,Sverige,SE,19851024-7646,+46,08-874 478 87,1985-10-24,True
Emil,Nyman,Jännepolku 2,Ruokolahti,82142,Finland,FI,19450409-5743,+358,+358 946837593,1945-04-09,True
Timothy,Reed,Frank Skyway 359,East James,78858,Danmark,DK,19521007-3556,+45,(321)774-9255,1952-10-07,False
Lisa,Nilsson,Gengatan 1,Piteå,74393,Sverige,SE,19870605-6931,+46,+46 (0)21 11 46 80,1987-06-05,True
Inger,Erlandsson,Villavägen 7,Uddevalla,19244,Sverige,SE,19921118-2120,+46,08-78 13 12,1992-11-18,True
Bert,Andersson,Nygatan 014,Mölndal,84942,Sverige,SE,19821123-6431,+46,08-987 07 85,1982-11-23,True
Maria,Larsson,Strandvägen 671,Sundsvall,93042,Sverige,SE,19521116-3641,+46,0963-372 60,1952-11-16,True
Michael,Riley,Brown Club 712,West Michael,68815,Danmark,DK,19540620-0932,+45,+1-573-346-0278x773,1954-06-20,True
Astrid,Malmberg,Strandgränd 119,Malmö,38282,Sverige,SE,19531024-0943,+46,+46 (0)554 829 53,1953-10-24,True
Birgitta,Hjalmarsson,Furuvägen 12,Norrköping,10520,Sverige,SE,19620914-8904,+46,08-074 822 53,1962-09-14,True
Mikael,Pitkänen,Ylä-Fallin bulevardi 1,Petäjävesi,06954,Finland,FI,19620617-405A,+358,+358 28 5572852,1962-06-17,True
Sebastian,Myhre,Edvardsenstykket 3,Tommyvåg,4944,Norge,NO,19660110-6412,+47,42687189,1966-01-10,True
Maria,Larsson,Parkstigen 605,Borlänge,31819,Sverige,SE,19560130-2830,+46,0703-051 17,1956-01-30,True
Kjell,Strand,Olsenmoen 5A,Andersø,9467,Norge,NO,19511014-6535,+47,40365651,1951-10-14,True
Frida,Sjöberg,Storvägen 451,Landskrona,66349,Sverige,SE,19490628-6828,+46,08-10 40 04,1949-06-28,True
Börje,Gustafsson,Furuvägen 80,Alingsås,77339,Sverige,SE,19910816-4551,+46,0294-85 36 29,1991-08-16,True
Leif,Nordström,Åkertorget 06,Helsingborg,92051,Sverige,SE,19990503-4245,+46,08-596 10 42,1999-05-03,True
Veronica,Magnusson,Kyrkotorget 452,Kristianstad,90695,Sverige,SE,19921027-7574,+46,0130-49 59 52,1992-10-27,True
Marianne,Åberg,Stationsgatan 622,Malmö,37974,Sverige,SE,19750820-6847,+46,+46 (0)247 833 78,1975-08-20,True
Karin,Karlsson,Strandgatan 534,Nyköping,82809,Sverige,SE,19511115-6658,+46,+46 (0)892 528 84,1951-11-15,True
Monica,Paulsen,Madsenberget 53B,Næss,8669,Norge,NO,19881121-0558,+47,66319005,1988-11-21,True
Laura,Ashley,Christopher Way 288,Greenemouth,78546,Danmark,DK,19781104-8086,+45,+1-682-749-7140x8239,1978-11-04,True
Svein,Paulsen,Iversenspranget 2,Saramark,0360,Norge,NO,19720306-8525,+47,43788818,1972-03-06,True
Anna,Andersson,Furugränd 820,Norrköping,45032,Sverige,SE,19710506-0619,+46,0409-47 16 30,1971-05-06,True
Kirsten,Ellingsen,Bøelyngen 83B,Eliassen,8819,Norge,NO,19440617-1921,+47,+47 65 32 49 01,1944-06-17,True
Lars,Öberg,Asptorget 367,Södertälje,26058,Sverige,SE,19890514-6983,+46,0809-931 04,1989-05-14,True
Svein,Jenssen,Mikkelsenalléen 2,Martebø,7342,Norge,NO,19770201-0874,+47,40770264,1977-02-01,True
Rose-Marie,Andersson,Backvägen 2,Linköping,21545,Sverige,SE,19540417-6707,+46,08-91 82 16,1954-04-17,True
Ingeborg,Lund,Abrahamsenberget 4,Mikkelsen,2764,Norge,NO,19930516-3706,+47,407 14 885,1993-05-16,True
Maria,Berggren,Stationstorget 2,Trollhättan,98171,Sverige,SE,19870206-0058,+46,08-535 747 27,1987-02-06,True
Hans,Andersson,Trädgårdstorget 15,Kalmar,60071,Sverige,SE,19501231-4761,+46,0341-867 74,1950-12-31,True
Roger,Palm,Fabriksgatan 20,Karlskrona,56697,Sverige,SE,19460125-2099,+46,0986-768 52,1946-01-25,True
Anna,Lindberg,Storgatan 830,Kalmar,87307,Sverige,SE,19460815-9020,+46,+46 (0)535 466 34,1946-08-15,True
Anneli,Andersson,Grantorget 717,Gävle,23201,Sverige,SE,19910425-9171,+46,08-869 334 11,1991-04-25,True
Misty,Evans,David Plains 443,Matthewberg,97192,Danmark,DK,19450223-6869,+45,(741)427-7648x84585,1945-02-23,True
Joshua,Hughes,Krystal Gateway 08791,Taylorberg,77179,Danmark,DK,19421202-9258,+45,764.468.7857x3055,1942-12-02,True
Håkon,Johannessen,Bergalléen 63,Thomassen,0991,Norge,NO,19550605-7245,+47,87 72 89 62,1955-06-05,True
Aarne,Laiho,Katajaharjunpolku 36,Karstula,84986,Finland,FI,19731112-742M,+358,+358 41 4280291,1973-11-12,True
Maria,Söderlund,Trädgårdsgränd 0,Örebro,90013,Sverige,SE,19741001-7577,+46,+46 (0)913 270 70,1974-10-01,True
Robert,Hauge,Larsenalléen 725,Svendsen,9326,Norge,NO,19470804-9105,+47,480 98 623,1947-08-04,True
Karl,Hedlund,Strandgränd 7,Karlskoga,49108,Sverige,SE,19691107-6911,+46,+46 (0)09 66 22 39,1969-11-07,True
Harriet,Axelsson,Kyrkogatan 6,Stockholm,86387,Sverige,SE,19900628-1169,+46,08-378 67 32,1990-06-28,True
David,Ljungberg,Villavägen 32,Falun,79638,Sverige,SE,19550909-6067,+46,037-965 04 60,1955-09-09,False
Sonja,Karlsson,Järnvägstorget 24,Lidingö,12945,Sverige,SE,19450225-0710,+46,+46 (0)8 879 202 52,1945-02-25,True
Gunnar,Johnsson,Ekgränd 6,Helsingborg,65155,Sverige,SE,19950328-5509,+46,08-633 66 10,1995-03-28,True
Jan,Forslund,Åkervägen 13,Halmstad,61828,Sverige,SE,19630515-3979,+46,0304-18 21 99,1963-05-15,True
Birgitta,Lindström,Grangatan 0,Falun,86892,Sverige,SE,19890108-5849,+46,0671-96 21 02,1989-01-08,True
Maarit,Turpeinen,Niemitie 43,Jämijärvi,08778,Finland,FI,19441118-6410,+358,0559989240,1944-11-18,True
Anita,Jääskeläinen,Wecksellinpolku 3,Kokkola,39468,Finland,FI,19561028-298B,+358,(+358) 371510598,1956-10-28,True
Arvid,Engström,Strandgatan 297,Göteborg,80985,Sverige,SE,19860209-3643,+46,08-895 244 65,1986-02-09,True
Ulla,Ottosson,Villavägen 38,Trollhättan,13766,Sverige,SE,19760723-4188,+46,068-70 17 42,1976-07-23,True
Andreas,Holm,Ringgatan 227,Jönköping,56641,Sverige,SE,19760914-6619,+46,0275-71 91 68,1976-09-14,True
Anders,Karlsson,Backgatan 1,Nyköping,15445,Sverige,SE,19630815-7116,+46,+46 (0)91 18 38 65,1963-08-15,True
Gunn,Madsen,Birkelandalléen 84,Johannessand,6468,Norge,NO,19631012-0737,+47,71445229,1963-10-12,True
Thomas,Gundersen,Holmholtet 26A,Sirivåg,2289,Norge,NO,19810904-5303,+47,30364054,1981-09-04,True
Lauren,Ramsey,Kathy Lodge 7908,Lake Stephenstad,84696,Danmark,DK,19460910-3090,+45,(835)422-1354,1946-09-10,True
Rasmus,Gustafsson,Björkgränd 88,Uppsala,80343,Scerige,SE,19410122-9704,+46,08-45 24 05,1941-01-22,True
Elaine,Chung,Reid Haven 0250,North Kellyside,28061,Danmark,DK,19890826-6844,+45,+1-431-804-1967x9609,1989-08-26,True
Joonas,Nieminen,Immolankuja 965,Äänekoski,38819,Finland,FI,19800803-101W,+358,(+358) 948730506,1980-08-03,True
Paul,Aronsson,Nystigen 215,Kristianstad,95749,Sverige,SE,19850119-6838,+46,060-115 39 94,1985-01-19,True
Uno,Malm,Granvägen 47,Örebro,11297,Sverige,SE,19561130-6318,+46,08-38 47 65,1956-11-30,True
Maren,Lie,Bakkeroa 30,Johannessen,8480,Norge,NO,19951107-7789,+47,978 06 394,1995-11-07,True
Margit,Johansson,Kvarngatan 648,Sandviken,47540,Sverige,SE,19620109-8523,+46,08-963 713 09,1962-01-09,True
Oscar,Johansson,Järnvägsgatan 60,Ängelholm,27628,Sverige,SE,19950821-7000,+46,08-653 289 32,1995-08-21,True
Marius,Madsen,Bergemoen 52,Hildehavn,6850,Norge,NO,19891015-6516,+47,+47 70 40 54 74,1989-10-15,True
Jenny,Haugland,Kristensenmoen 3,Kristiansen,7141,Norge,NO,19870305-6147,+47,08865888,1987-03-05,True
Inge,Svensson,Ekgatan 57,Lidköping,31558,Sverige,SE,19810530-9055,+46,0712-506 03,1981-05-30,True
Einar,Bøe,Eidevika 4,Birkeland,1006,Norge,NO,19680127-3408,+47,97745839,1968-01-27,True
Steven,Schwartz,Timothy Radial 12905,East Monicabury,73392,Danmark,DK,19720620-2530,+45,933-228-3436,1972-06-20,True
Petteri,Tarvainen,Taimistonkuja 041,Kangasala,38595,Finland,FI,19920425-538D,+358,0029694857,1992-04-25,True
Anneli,Lindkvist,Bäckgatan 104,Borlänge,15042,Sverige,SE,19930130-7784,+46,0302-91 67 64,1993-01-30,True
Linda,Laine,Urpukuja 47,Ilmajoki,72438,Finland,FI,19490621-640P,+358,(+358) 605335308,1949-06-21,True
Kalervo,Lehtinen,Fastbölenbulevardi 6,Karijoki,41036,Finland,FI,19981016-6601,+358,+358 54 3849346,1998-10-16,True
Hannah,Walker,Hudson Port 5819,Morastad,06821,Danmark,DK,19941124-6559,+45,(766)241-2931,1994-11-24,True
Sven,Axelsson,Storgatan 471,Mölndal,61082,Sverige,SE,20000528-8345,+46,038-58 42 49,2000-05-28,True
Hans,Henriksson,Skolstigen 63,Lidköping,13506,Sverige,SE,19600501-8619,+46,08-965 795 44,1960-05-01,True
Philip,Jonsson,Trädgårdsgatan 143,Örnsköldsvik,86229,Sverige,SE,19640225-4696,+46,0717-636 89,1964-02-25,True
Tone,Johnsen,Jenssenhagen 84,Hagen,2673,Norge,NO,19721201-0202,+47,69 69 94 51,1972-12-01,True
Ole,Antonsen,Jakobsentunet 4,Kristoffersen,7736,Norge,NO,19850705-7581,+47,44425859,1985-07-05,True
Pekka,Eloranta,Walentin Chorellin kuja 5,Lapinlahti,34974,Finland,FI,19400124-1596,+358,(+358) 667995480,1940-01-24,True
Kaarina,Aho,Porkkalankuja 20,Tammela,84038,Finland,FI,19540823-5023,+358,(+358) 596766317,1954-08-23,True
Elisabeth,Jonsson,Åkergatan 56,Lidköping,30387,Sverige,SE,19811217-2653,+46,08-971 062 66,1981-12-17,True
Vidar,Rønning,Eideengen 80,Gretheby,7368,Norge,NO,19950206-7463,+47,43585007,1995-02-06,True
Elin,Vik,Olsengropa 01,Perås,0199,Norge,NO,19780831-0424,+47,76193945,1978-08-31,True
Douglas,Cunningham,Gary Creek 4706,Isaiahport,76987,Danmark,DK,19970318-5869,+45,797-580-5681x68230,1997-03-18,True
Johan,Nordin,Grangatan 6,Östersund,40326,Sverige,SE,19820318-8727,+46,0674-915 88,1982-03-18,True
Ulla,Johansson,Stationsvägen 952,Linköping,49198,Sverige,SE,19481112-5072,+46,+46 (0)99 50 00 46,1948-11-12,True
Lena,Jansson,Björkstigen 66,Växjö,99155,Sverige,SE,19430512-0954,+46,098-23 88 11,1943-05-12,True
Eric,Reyes,Charles Inlet 97301,Markbury,09527,Danmark,DK,19440517-0668,+45,+1-985-206-6663,1944-05-17,True
Tuulikki,Vesterinen,Jännekatu 638,Nurmes,85501,Finland,FI,19931111-470T,+358,+358 893468645,1993-11-11,True
Erik,Blomqvist,Industrivägen 739,Umeå,12645,Sverige,SE,19600311-5691,+46,08-36 42 16,1960-03-11,True
Julia,Karlsson,Backtorget 634,Lidköping,84158,Sverige,SE,19760904-3858,+46,08-605 38 09,1976-09-04,True
Erling,Jönsson,Stortorget 557,Alingsås,80579,Sverige,SE,19540714-4108,+46,+46 (0)8 758 415 27,1954-07-14,True
Robert,Hart,Brandon Burgs 6174,Blakebury,97916,Danmark,DK,19920102-2948,+45,851.466.8677x20249,1992-01-02,True
Jens,Birkeland,Gundersentoppen 3,Nygård,5364,Norge,NO,19941225-7299,+47,95 58 06 64,1994-12-25,True
Harold,Pierce,Dylan Ferry 2734,South Robertoville,64856,Danmark,DK,19411211-3283,+45,888.558.3157,1941-12-11,True
Martin,Pettersson,Kyrkvägen 131,Luleå,82340,Sverige,SE,19730525-3591,+46,007-940 56 27,1973-05-25,True
Irene,Ahokas,Kolubulevardi 953,Laitila,20835,Finland,FI,19780815-397F,+358,045 219 5744,1978-08-15,True
Lisbeth,Nilsson,Villagränd 4,Mölndal,10679,Sverige,SE,19620109-8688,+46,0298-397 72,1962-01-09,True
Øyvind,Jensen,Moenmoen 13,Amundsen,2943,Norge,NO,19730306-6334,+47,01 05 67 29,1973-03-06,True
Marie,Nord,Genvägen 21,Umeå,27293,Sverige,SE,19490903-1281,+46,002-20 23 68,1949-09-03,True
Bjørg,Kristensen,Mathisenspranget 55,Tveit,1954,Norge,NO,19680314-7389,+47,87925514,1968-03-14,True
Jason,Yoder,Victoria Square 7723,New Jamesborough,51601,Danmark,DK,19530221-9777,+45,+1-760-656-2769,1953-02-21,True
Ragnhild,Strøm,Abrahamsenmarka 7,Sørensen,8275,Norge,NO,19870330-1904,+47,43447200,1987-03-30,True
Sondre,Larsen,Fredriksenspranget 48,Runegrunn,9937,Norge,NO,19830208-8986,+47,97493234,1983-02-08,True
Nils,Gustafsson,Skogstorget 674,Halmstad,47212,Sverige,SE,19580706-4819,+46,08-622 22 36,1958-07-06,True
Camilla,Halvorsen,Halvorsengrenda 8,Larsstrand,9513,Norge,NO,19470330-4525,+47,53 84 95 64,1947-03-30,True
Britt,Tveit,Brekkestien 68,Lenefjell,0959,Norge,NO,19610513-3249,+47,28 10 32 34,1961-05-13,True
Sarah,Jones,Boyd Squares 20187,Nealfort,29114,Danmark,DK,19561227-2929,+45,+1-302-795-2374,1956-12-27,True
Caroline,Bergström,Skogsvägen 693,Södertälje,42809,Sverige,SE,19821005-9845,+46,08-70 69 86,1982-10-05,True
Michael,Ramsey,Kaitlyn Locks 17048,Vasquezview,35530,Danmark,DK,19540729-5985,+45,961-619-2664x0147,1954-07-29,True
Berit,Lindblad,Strandvägen 652,Skellefteå,32519,Sverige,SE,19890902-0165,+46,+46 (0)886 231 65,1989-09-02,True
Anneli,Eriksson,Nygatan 47,Trelleborg,77871,Sverige,SE,19700817-8615,+46,045-704 13 46,1970-08-17,True
Siv,Skoglund,Nygatan 731,Borås,31729,Sverige,SE,19691007-5317,+46,08-53 12 80,1969-10-07,True
Jasmine,Prince,Jackson Ramp 219,Holmesside,36613,Danmark,DK,19470710-7052,+45,(958)403-7926x3133,1947-07-10,True
Christina,Larsson,Kvarntorget 09,Kalmar,10955,Sverige,SE,19940316-7723,+46,0398-50 73 57,1994-03-16,True
John,Nielsen,Hansentjernet 83,Sæther,2561,Norge,NO,19400417-1552,+47,+47 80 61 62 95,1940-04-17,True
Maria,Andersson,Skolvägen 50,Trollhättan,78885,Sverige,SE,20001122-9134,+46,08-251 88 14,2000-11-22,True
Reidun,Knutsen,Bøetunet 75E,Pettersen,7250,Norge,NO,19580725-9867,+47,49610209,1958-07-25,True
Jarno,Koskinen,Ilvespolku 12,Vesilahti,65377,Finland,FI,19911128-643F,+358,+358 467225232,1991-11-28,True
Charlotte,Olsson,Storgränd 5,Nyköping,98530,Sverige,SE,19680614-7365,+46,+46 (0)655 573 79,1968-06-14,True
Mikael,Abrahamsson,Trädgårdsvägen 78,Borlänge,74504,Sverige,SE,19500901-1106,+46,+46 (0)8 600 598 96,1950-09-01,True
Viktoria,Johansson,Nygränd 2,Landskrona,44397,Sverige,SE,19511214-4638,+46,056-426 51 21,1951-12-14,True
Anthony,Hill,Bishop Extension 31656,West Lisatown,17637,Sverige,DK,19931130-0119,+45,+1-315-311-6161,1993-11-30,True
Sigrid,Danielsen,Paulsenstykket 23,Haugen,5132,Norge,NO,19920103-0883,+47,+4748366290,1992-01-03,True
Maria,Lindgren,Idrottsgatan 48,Linköping,14952,Sverige,SE,19480528-9727,+46,+46 (0)358 455 61,1948-05-28,True
Bertil,Nyberg,Furugatan 4,Ängelholm,12068,Sverige,SE,19830812-4205,+46,0061-50 39 11,1983-08-12,True
Tord,Pettersson,Aspgatan 395,Sundsvall,35646,Sverige,SE,19910920-7906,+46,002-91 87 35,1991-09-20,True
Conny,Norén,Skolvägen 980,Nyköping,15397,Sverige,SE,19400114-4352,+46,009-340 04 75,1940-01-14,True
Birgitta,Andersson,Skogsgatan 8,Karlstad,28818,Sverige,SE,19630124-7115,+46,+46 (0)362 985 41,1963-01-24,True
Regina,Bowman,Webster Brooks 8847,North Kimberly,21067,Danmark,DK,19710916-4296,+45,844-549-7197x6758,1971-09-16,True
Shannon,Rodriguez,Roberts Square 227,Flemingmouth,41619,Danmark,DK,19960614-2584,+45,831.769.5675x12496,1996-06-14,True
Elisabeth,Martinsson,Furuvägen 0,Kristianstad,61133,Sverige,SE,19950109-8567,+46,+46 (0)8 380 153 57,1995-01-09,True
Gunnar,Johansson,Furuvägen 4,Karlskrona,87550,Sverige,SE,19430613-6447,+46,064-255 81 35,1943-06-13,True
Valdemar,Lindgren,Furustigen 8,Norrköping,20850,Sverige,SE,19840204-1945,+46,08-710 74 96,1984-02-04,True
Sven,Forsberg,Parkgatan 1,Trelleborg,44052,Sverige,SE,19710311-1822,+46,08-500 16 85,1971-03-11,True
Darren,Mcdonald,Clark Common 375,North Julie,09449,Danmark,DK,19831019-6545,+45,780.266.6562x04688,1983-10-19,True
Liisa,Karppinen,Taavetti Laitisen katu 605,Kärsämäki,81813,Finland,FI,19830529-270L,+358,067 902 2808,1983-05-29,True
Gunnar,Amundsen,Vikbakken 2,Jørgensen,3957,Norge,NO,19690413-7536,+47,68 91 02 91,1969-04-13,True
Nicholas,Patel,Stout Ridge 52469,North Nancyburgh,67293,Danmark,DK,19790817-4841,+45,+1-999-853-5818,1979-08-17,True
Bert,Norman,Järnvägsvägen 25,Jönköping,45465,Sverige,SE,19890416-9369,+46,08-733 447 02,1989-04-16,True
Gunborg,Andersson,Granstigen 01,Linköping,59727,Sverige,SE,19570413-4693,+46,028-48 17 27,1957-04-13,True
Hege,Helland,Holmlunden 07,Engen,0310,Norge,NO,19680327-4065,+47,441 27 458,1968-03-27,True
Annikki,Määttä,Runeberginkatu 1,Multia,81737,Finland,FI,19590715-205A,+358,0026096550,1959-07-15,True
Maria,Olsson,Strandvägen 943,Jönköping,15417,Sverige,SE,19741030-2737,+46,+46 (0)52 47 36 02,1974-10-30,True
Erik,Andersson,Furuvägen 50,Umeå,57350,Sverige,SE,19491114-9377,+46,0083-598 43,1949-11-14,True
Bengt,Engström,Parkvägen 0,Trollhättan,67537,Sverige,SE,19581118-0908,+46,+46 (0)42 09 56 20,1958-11-18,True
Frida,Ljungberg,Järnvägsvägen 15,Jönköping,75029,Sverige,SE,19550128-2939,+46,+46 (0)8 963 349 64,1955-01-28,True
Matilda,Karlsson,Skogsgatan 110,Kalmar,72955,Sverige,SE,19591209-0861,+46,0082-585 04,1959-12-09,True
Jonas,Mattsson,Parktorget 27,Helsingborg,13022,Sverige,SE,19600607-1322,+46,08-261 83 37,1960-06-07,True
Eva,Blomberg,Skolvägen 67,Trelleborg,24360,Sverige,SE,19840726-8015,+46,018-84 62 42,1984-07-26,True
Morten,Edvardsen,Dahlgata 89,Henriksen,2817,Norge,NO,19460418-7656,+47,09635531,1946-04-18,True
Rose-Marie,Svensson,Björktorget 92,Eskilstuna,11409,Sverige,SE,19480720-4291,+46,012-58 87 08,1948-07-20,True
Oscar,Karlsson,Parkvägen 911,Lidköping,12913,Sverige,SE,19991212-3462,+46,0915-67 29 55,1999-12-12,True
Marina,Nilsson,Fabriksstigen 3,Lidköping,90536,Sverige,SE,19850916-9626,+46,+46 (0)899 541 59,1985-09-16,True
Gösta,Nilsson,Kyrkstigen 36,Jönköping,74437,Sverige,SE,19560209-3766,+46,+46 (0)8 222 418 53,1956-02-09,True
Sven,Ekström,Ringtorget 20,Uppsala,24350,Sverige,SE,19670822-9325,+46,08-688 943 29,1967-08-22,True
Martin,Svensson,Skogstorget 8,Trelleborg,52405,Sverige,SE,19960205-8969,+46,+46 (0)978 090 79,1996-02-05,True
Jan,Olsson,Villagatan 18,Borlänge,42657,Sverige,SE,19820327-7507,+46,08-798 132 20,1982-03-27,True
Johanna,Olsson,Trädgårdsgatan 354,Växjö,93810,Sverige,SE,19650703-9606,+46,+46 (0)747 932 42,1965-07-03,True
Katrina,King,Daniel Glen 68136,West Tina,21717,Danmark,DK,19420826-4133,+45,001-968-470-5239x447,1942-08-26,True
Anna,Lundberg,Stationsgränd 98,Örnsköldsvik,90911,Sverige,SE,19860405-5873,+46,+46 (0)94 13 64 93,1986-04-05,True
Mary,Duarte,Brian Expressway 5015,East Sean,49927,Danmark,DK,19961103-9655,+45,+1-361-503-9171x10522,1996-11-03,True
Håvard,Jakobsen,Evensenplassen 27B,Mathisen,4001,Norge,NO,19830117-7673,+47,495 77 134,1983-01-17,True
Margaretha,Gustafsson,Skolgatan 54,Varberg,35003,Sverige,SE,19581111-5932,+46,+46 (0)8 956 743 28,1958-11-11,True
Verner,Andersson,Trädgårdstorget 388,Malmö,49152,Sverige,SE,19500405-6286,+46,0038-708 32,1950-04-05,True
Bo,Holmgren,Björkvägen 17,Stockholm,75262,Sverige,SE,19931027-1744,+46,0117-29 76 91,1993-10-27,True
Gunn,Gulbrandsen,Olsenrøa 096,Theastad,8137,Norge,NO,19781030-0693,+47,51461152,1978-10-30,True
Åke,Eriksson,Ängstorget 8,Lund,85628,Sverige,SE,19890628-4451,+46,+46 (0)179 482 12,1989-06-28,True
Tove,Thorsen,Larsengropa 3B,Nygård,5298,Norge,NO,19731205-0985,+47,54 24 71 65,1973-12-05,True
Jeffrey,Daniels,Ian Mews 761,Christensenview,39902,Danmark,DK,19521219-9245,+45,+1-624-791-5417x0517,1952-12-19,True
Per,Svensson,Bäckstigen 20,Piteå,53698,Sverige,SE,19770726-2120,+46,08-32 18 70,1977-07-26,True
Arne,Persson,Skogsvägen 49,Malmö,37064,Sverige,SE,19790118-3736,+46,08-161 971 21,1979-01-18,True
Karin,Johansson,Ängsgatan 041,Skellefteå,45928,Sverige,SE,19910430-0241,+46,08-42 28 98,1991-04-30,True
Viola,Andersson,Skogsgränd 0,Östersund,81637,Sverige,SE,19620509-4535,+46,+46 (0)81 88 52 70,1962-05-09,True
Gertrud,Bergman,Nyvägen 05,Trollhättan,20991,Sverige,SE,19740411-4203,+46,+46 (0)8 774 364 00,1974-04-11,True
Siv,Larsson,Industrigatan 52,Halmstad,63407,Sverige,SE,19471225-7764,+46,+46 (0)8 925 089 24,1947-12-25,True
Margaret,Miller,Lopez Throughway 287,Sandersview,09730,Danmark,DK,19790808-6097,+45,7907404823,1979-08-08,True
Thomas,Pettersson,Parkvägen 23,Umeå,56507,Sverige,SE,19420125-9051,+46,+46 (0)8 868 027 49,1942-01-25,True
Hans,Iversen,Ruudflata 2,Mikkelsen,8369,Norge,NO,19461025-1446,+47,54 13 28 93,1946-10-25,True
Ingrid,Svensson,Kvarntorget 9,Nyköping,52352,Sverige,SE,20000218-8703,+46,+46 (0)8 453 735 20,2000-02-18,True
Cody,Ingram,Kane Center 0566,Phillipsfurt,32705,Danmark,DK,19640531-7874,+45,+1-256-229-7493,1964-05-31,True
Joakim,Simonsen,Strømhavna 70,Eliassen,3704,Norge,NO,19610225-0797,+47,61 27 67 06,1961-02-25,True
Margareta,Eriksson,Åkervägen 4,Piteå,81482,Sverige,SE,19940701-2751,+46,0913-78 08 30,1994-07-01,True
Sebastian,Andersson,Idrottsgatan 67,Norrköping,20115,Sverige,SE,19431105-5776,+46,+46 (0)11 66 20 39,1943-11-05,True
Antero,Peltonen,Osuuskunnanpolku 9,Pöytyä,28444,Finland,FI,19741105-7642,+358,+358447384612,1974-11-05,True
Robin,Boman,Backstigen 16,Alingsås,21373,Sverige,SE,19750319-5444,+46,08-359 225 52,1975-03-19,True
Arne,Petersson,Industrigränd 86,Östersund,86013,Sverige,SE,19720830-3690,+46,0826-31 12 53,1972-08-30,True
Marja-Liisa,Järvenpää,Tuomarinkylänpolku 675,Korsnäs,57828,Finland,FI,19571115-3934,+358,010 546 8670,1957-11-15,True
Vicki,Oliver,Tracie Ridges 0422,Lake Colleen,85668,Danmark,DK,19480503-8925,+45,+1-219-751-9864,1948-05-03,True
Reidun,Jacobsen,Moevollen 24B,Nielsen,2555,Norge,NO,19430703-3314,47,955 54 877,1943-07-03,True
Jennifer,Roberts,Wendy Crest 84970,Moorefort,50367,Danmark,DK,19410109-9296,+45,+1-903-783-1739x5135,1941-01-09,True
Jan,Fransson,Ektorget 2,Malmö,38333,Sverige,SE,19680718-8260,+46,033-320 29 51,1968-07-18,True
Blake,Johnson,Graham Plain 39505,Ronaldborough,92385,Danmark,DK,19461129-8126,+45,001-734-512-4454x77817,1946-11-29,True
Eva,Samuelsson,Idrottstorget 45,Piteå,69578,Sverige,SE,19951014-5189,+46,094-474 94 84,1995-10-14,True
Håkon,Knutsen,Ellingsenringen 2,Monavik,3000,Norge,NO,19921008-9750,+47,96683963,1992-10-08,True
Åsa,Bengtsson,Järnvägsstigen 7,Gävle,79650,Sverige,SE,19730216-3721,+46,+46 (0)74 39 53 08,1973-02-16,True
Per,Thorsen,Ellingsenkollen 83,Bjørgstrand,1149,Norge,NO,19791219-4456,+47,14989462,1979-12-19,True
